iter	Passed	Remaining
0	166	166460
1	296	147784
2	422	140323
3	549	136907
4	671	133614
5	794	131591
6	991	140597
7	1163	144221
8	1309	144162
9	1453	143892
10	1593	143229
11	1730	142463
12	1873	142263
13	2019	142263
14	2163	142062
15	2305	141817
16	2448	141605
17	2596	141653
18	2746	141803
19	2884	141352
20	3035	141492
21	3178	141277
22	3320	141068
23	3461	140763
24	3602	140499
25	3744	140268
26	3884	139994
27	4022	139644
28	4175	139806
29	4313	139482
30	4456	139307
31	4598	139095
32	4738	138849
33	4877	138580
34	5016	138324
35	5165	138333
36	5307	138146
37	5448	137936
38	5597	137925
39	5744	137862
40	5884	137648
41	6032	137587
42	6178	137499
43	6320	137332
44	6468	137269
45	6615	137196
46	6757	137018
47	6900	136862
48	6974	135354
49	7111	135127
50	7251	134935
51	7400	134923
52	7538	134692
53	7682	134579
54	7827	134499
55	7972	134393
56	8110	134171
57	8249	133976
58	8388	133789
59	8525	133572
60	8667	133426
61	8805	133214
62	8945	133053
63	9086	132893
64	9230	132782
65	9367	132565
66	9508	132409
67	9658	132373
68	9800	132239
69	9940	132063
70	10081	131912
71	10222	131751
72	10367	131651
73	10505	131456
74	10641	131242
75	10782	131088
76	10921	130920
77	11063	130771
78	11203	130609
79	11353	130568
80	11488	130342
81	11632	130231
82	11775	130103
83	11917	129962
84	12059	129813
85	12209	129760
86	12346	129570
87	12487	129417
88	12632	129303
89	12772	129147
90	12912	128988
91	13055	128855
92	13200	128738
93	13343	128606
94	13485	128471
95	13631	128361
96	13766	128159
97	13908	128018
98	14054	127909
99	14192	127728
100	14332	127571
101	14477	127454
102	14617	127303
103	14797	127482
104	14958	127501
105	15143	127718
106	15294	127642
107	15438	127509
108	15583	127388
109	15743	127382
110	15907	127404
111	16054	127285
112	16199	127158
113	16343	127019
114	16475	126788
115	16604	126536
116	16725	126228
117	16857	126006
118	16981	125720
119	17118	125538
120	17257	125364
121	17390	125156
122	17528	124979
123	17658	124746
124	17790	124530
125	17912	124248
126	18050	124079
127	18178	123838
128	18307	123608
129	18435	123374
130	18568	123174
131	18698	122957
132	18845	122850
133	18995	122763
134	19134	122602
135	19271	122432
136	19402	122220
137	19532	122009
138	19664	121808
139	19800	121634
140	19926	121398
141	20061	121218
142	20207	121106
143	20348	120958
144	20484	120790
145	20618	120602
146	20744	120375
147	20875	120174
148	21007	119983
149	21133	119756
150	21256	119516
151	21385	119307
152	21506	119060
153	21632	118839
154	21758	118621
155	21884	118398
156	22012	118193
157	22145	118014
158	22274	117818
159	22399	117598
160	22533	117427
161	22658	117209
162	22790	117027
163	22914	116808
164	23052	116661
165	23184	116481
166	23330	116371
167	23457	116172
168	23599	116042
169	23725	115834
170	23857	115660
171	24001	115541
172	24147	115431
173	24279	115257
174	24409	115073
175	24545	114916
176	24675	114735
177	24806	114556
178	24934	114363
179	25061	114170
180	25190	113985
181	25316	113784
182	25442	113585
183	25574	113417
184	25704	113239
185	25828	113034
186	25952	112828
187	26080	112643
188	26210	112469
189	26335	112274
190	26465	112095
191	26597	111931
192	26733	111780
193	26877	111666
194	27015	111524
195	27158	111406
196	27298	111273
197	27435	111126
198	27613	111146
199	27790	111162
200	27926	111010
201	28069	110889
202	28213	110767
203	28353	110632
204	28498	110518
205	28643	110401
206	28784	110270
207	28920	110119
208	29063	109994
209	29207	109874
210	29346	109737
211	29483	109591
212	29623	109453
213	29762	109314
214	29904	109186
215	30048	109066
216	30189	108934
217	30330	108802
218	30501	108773
219	30690	108811
220	30878	108842
221	31047	108807
222	31216	108768
223	31374	108690
224	31533	108613
225	31684	108511
226	31828	108383
227	31970	108249
228	32100	108077
229	32240	107934
230	32403	107873
231	32559	107783
232	32719	107709
233	32875	107617
234	33045	107574
235	33218	107537
236	33363	107410
237	33508	107282
238	33670	107210
239	33833	107138
240	33996	107068
241	34164	107011
242	34327	106938
243	34467	106791
244	34617	106677
245	34761	106546
246	34901	106398
247	35043	106261
248	35183	106114
